X,Y,Color Value %,Color Value
-233.3333338,5.882352941176464,-0.05,0.3333333333333333
-200.0000004,145.58823529411762,0.02,0.5666666666666667
-183.3333337,173.52941176470588,0.02,0.5666666666666667
-166.666667,173.52941176470588,0.02,0.5666666666666667
-150.0000003,201.47058823529412,0.02,0.5666666666666667
-150.0000003,89.70588235294116,-0.03,0.4
-133.3333336,117.64705882352939,0.06,0.7
-133.3333336,61.76470588235293,-0.03,0.4
-100.00000019999999,229.41176470588235,0.02,0.5666666666666667
-100.00000019999999,117.64705882352939,-0.03,0.4
-100.00000019999999,5.882352941176464,-0.03,0.4
-83.33333349999998,145.58823529411762,0.06,0.7
-83.33333349999998,33.823529411764696,-0.03,0.4
-66.6666668,5.882352941176464,0.07,0.7333333333333334
-50.000000099999994,33.823529411764696,0.07,0.7333333333333334
-33.33333339999999,257.3529411764706,0.01,0.5333333333333333
-33.33333339999999,33.823529411764696,0.07,0.7333333333333334
-33.33333339999999,5.882352941176464,0.16,1.0
-16.666666700000007,257.3529411764706,0.01,0.5333333333333333
-16.666666700000007,5.882352941176464,0.16,1.0
0.0,257.3529411764706,0.01,0.5333333333333333
0.0,117.64705882352939,0.07,0.7333333333333334
0.0,89.70588235294116,0.07,0.7333333333333334
0.0,61.76470588235293,0.07,0.7333333333333334
0.0,33.823529411764696,0.16,1.0
0.0,5.882352941176464,0.16,1.0
16.666666700000007,257.3529411764706,0.01,0.5333333333333333
16.666666700000007,89.70588235294116,0.07,0.7333333333333334
16.666666700000007,33.823529411764696,0.07,0.7333333333333334
16.666666700000007,5.882352941176464,0.16,1.0
33.333333400000015,33.823529411764696,0.07,0.7333333333333334
33.333333400000015,5.882352941176464,0.16,1.0
50.00000010000002,33.823529411764696,0.07,0.7333333333333334
83.33333350000004,145.58823529411762,0.05,0.6666666666666667
100.00000019999999,229.41176470588235,0.1,0.8333333333333334
100.00000019999999,89.70588235294116,0.02,0.5666666666666667
116.6666669,229.41176470588235,0.1,0.8333333333333334
116.6666669,145.58823529411762,0.05,0.6666666666666667
133.3333336,201.47058823529412,0.1,0.8333333333333334
133.3333336,117.64705882352939,0.05,0.6666666666666667
166.66666700000002,173.52941176470588,0.1,0.8333333333333334
233.3333338,33.823529411764696,0.16,1.0
233.3333338,5.882352941176464,0.16,1.0
-208.33333375,131.61764705882354,0.02,0.5666666666666667
-191.66666705,159.55882352941177,0.02,0.5666666666666667
-175.00000035,187.5,0.02,0.5666666666666667
-175.00000035,19.85294117647061,-0.03,0.4
-158.33333365,131.61764705882354,0.06,0.7
-158.33333365,75.73529411764707,-0.03,0.4
-141.66666694999998,215.44117647058823,0.02,0.5666666666666667
-141.66666694999998,131.61764705882354,0.06,0.7
-125.00000025,159.55882352941177,0.06,0.7
-125.00000025,19.85294117647061,-0.03,0.4
-108.33333354999999,187.5,0.06,0.7
-108.33333354999999,131.61764705882354,0.06,0.7
-108.33333354999999,47.79411764705884,-0.03,0.4
-108.33333354999999,19.85294117647061,-0.03,0.4
-91.66666684999998,131.61764705882354,0.06,0.7
-58.33333345,19.85294117647061,0.07,0.7333333333333334
-41.66666674999999,47.79411764705884,0.07,0.7333333333333334
-41.66666674999999,19.85294117647061,0.07,0.7333333333333334
-25.000000049999983,19.85294117647061,0.16,1.0
-8.333333350000004,47.79411764705884,0.07,0.7333333333333334
-8.333333350000004,19.85294117647061,0.16,1.0
-8.333333350000004,-8.088235294117624,0.16,1.0
8.333333350000032,47.79411764705884,0.07,0.7333333333333334
8.333333350000032,19.85294117647061,0.16,1.0
8.333333350000032,-8.088235294117624,0.16,1.0
25.000000049999983,19.85294117647061,0.16,1.0
25.000000049999983,-8.088235294117624,0.16,1.0
41.66666674999999,19.85294117647061,0.07,0.7333333333333334
75.00000015,243.38235294117646,0.01,0.5333333333333333
75.00000015,19.85294117647061,-0.17,0.0
91.66666685000001,131.61764705882354,0.05,0.6666666666666667
125.00000025000003,215.44117647058823,0.1,0.8333333333333334
158.33333365,187.5,0.1,0.8333333333333334
175.00000035,19.85294117647061,0.02,0.5666666666666667
191.66666705,159.55882352941177,0.1,0.8333333333333334
